sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,AZ182,IncD.Section89New,"IF(IncD.TotalTaxPayable<=0,0,ROUND(((IncD.TotalHeadSalaries-IncomeNotified89A-IncomeNotifiedOther89A+TotFamilyPension-IncD.LessDeduction57)/(IncD.TotalIncome))*IncD.TotalTaxPayable,0))",TO_IMPLEMENT,
Income Details,visible,AZ183,IncD.Section89ANew,"IF(IncD.TotalTaxPayable<=0,0,ROUND(((IncomeNotified89A)/(IncD.TotalIncome))*IncD.TotalTaxPayable,0))",TO_IMPLEMENT,
Income Details,visible,AO184,IncD.NetTaxLiability,"ROUND(MAX(IncD.GrossTaxLiability-IncD.Section89-IncD.Section89A,0),0)",TO_IMPLEMENT,
Income Details,visible,BI184,EntryDate,"VALUE(MID(Ver.Date,1,2))",TO_IMPLEMENT,
Income Details,visible,BI185,EntryMonth,"VALUE(MID(Ver.Date,4,2))",TO_IMPLEMENT,
Income Details,visible,BI186,EntryYear,"VALUE(MID(Ver.Date,7,4))",TO_IMPLEMENT,
Income Details,visible,AO190,IncD.TotalIntrstPay,"SUM(IncD.IntrstPayUs234A,IncD.IntrstPayUs234B,IncD.IntrstPayUs234C,IncD.IntrstPayUs234F,IncD.Section234I)",TO_IMPLEMENT,
Income Details,visible,AO191,IncD.TotTaxPlusIntrstPay,IncD.GrossTaxLiability+IncD.IntrstPayUs234A+IncD.IntrstPayUs234B+IncD.IntrstPayUs234C+IncD.IntrstPayUs234F-IncD.Section89,TO_IMPLEMENT,
HP,visible,F10,,F9+1,TO_IMPLEMENT,
HP,visible,F11,,F10+1,TO_IMPLEMENT,
HP,visible,F12,,,TO_IMPLEMENT,
HP,visible,F13,,,TO_IMPLEMENT,
HP,visible,F14,,,TO_IMPLEMENT,
HP,visible,F15,,,TO_IMPLEMENT,
HP,visible,F19,,F18+1,TO_IMPLEMENT,
HP,visible,F20,,F19+1,TO_IMPLEMENT,
HP,visible,I24,HP.TotalUnrealizedAndTax1,SUM(I22:I23),TO_IMPLEMENT,
